title,originallink,link,description,pubDate,update
"서울시, 라이브커머스 이용2배 증가",http://www.fnnews.com/news/202204061036244727,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004815560,서울시는 <b>코로나</b>19 이후 비대면 쇼핑 일상화로 급증하고 있는 '라이브커머스' 이용실태조사 결과를 6일 발표했다. 조사결과 답변자의 57.9%(4000명 중 2315명)가 라이브커머스를 이용한 적이 있다고 답했다. 이는... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"도이체방크 “美, 내년 말 경기침체”…긴축 가속에 ‘경착륙’ 예상",https://biz.chosun.com/international/international_economy/2022/04/06/22IGIXD665B7XLMIMGAMPFJOSY/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=366&aid=0000804568,"도이체방크는 2024년 실업률이 5% 이상까지 오를 것으로 예상하면서, 이는 지난 2009년 금융위기 당시의 10%나 2020년 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 팬데믹 시작 당시 14.7%에 비해 낮은 수치라고 했다. 앞서 금융권에서는... ","Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
국민의힘 정상철 &quot;대전시민 생명지킴이&quot; 릴레이 헌혈봉사,http://www.joongdo.co.kr/web/view.php?key=20220406010001315,http://www.joongdo.co.kr/web/view.php?key=20220406010001315,예비후보가 <b>코로나</b>19 확진자 급증으로 혈액수급이 부족한 상황을 돕기 위해 헌혈 봉사에 나섰다. 정 예비후보는 5일 헌혈의 집 충남대 센터에서 자신을 비롯한 지지자 100여 명과 릴레이 헌혈을 했다. 최근 대전은 <b>코로나</b>19... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"광주시, SW 기업사업화 5개 과제 추진…국비 15억 확보",http://www.newsis.com/view/?id=NISX20220406_0001822704&cID=10809&pID=10800,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0011106392,<b>코로나</b> 이후 우울과 불안장애 등 정신건강 문제 해결에 디지털 기술을 활용해 생활에 적용하는 사례가 될 것으로 기대된다. ㈜비에이에너지는 빅데이터를 활용한 배터리 안전 운송 솔루션 개발 과제를 통해 최근 안전... ,"Wed, 06 Apr 2022 11:15:00 +0900",2022-04-06 11:19:47
억만장자 쿠퍼맨 &quot;美 경기침체 오더라도 난 이 주식 더 살 것&quot;,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202204060109&t=NN,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=215&aid=0001024201,쿠퍼맨은 &quot;재작년 <b>코로나</b>19 사태 이후 연준이 많은 것을 놓치고 있다&quot;면서 &quot;인플레이션을 잡기 위한 연준의 금리인상 정책이 결국 미국의 경기 침체 가능성을 확대하고 있다&quot;고 분석했다. 앞서 미국 노동부는 지난 10일... ,"Wed, 06 Apr 2022 11:15:00 +0900",2022-04-06 11:19:47
1주간 학생 25만여 명 <b>코로나</b>19 확진...등교 학생 90.2%,https://www.ytn.co.kr/_ln/0103_202204061115199207,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001722697,오미크론 변이 대유행이 감소세를 보이는 가운데 최근 1주간 전국 학생 25만여 명이 <b>코로나</b>19에 확진됐습니다. 교육부는 지난달 29일부터 그제(4일)까지 1주간 전국의 학생 <b>코로나</b>19 확진자는 25만 553명으로... ,"Wed, 06 Apr 2022 11:15:00 +0900",2022-04-06 11:19:47
[톺아보기] 검은 백조 신드롬,https://view.asiae.co.kr/article/2022040611153214184,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=110&oid=277&aid=0005069655,"미국의 9·11 사태, 대통령 탄핵, <b>코로나</b> 팬데믹(세계적 대유행), 러시아의 우크라이나 침공 같은 일련의... 지난 과거의 경험에 의거한 평균적인 생각은 <b>코로나</b>의 정점을 잘못 예측하는 데 상당한 기여를 했다. 과거 사스나... ","Wed, 06 Apr 2022 11:15:00 +0900",2022-04-06 11:19:47
"빗장 풀리는 하늘길, 카드업계 해외여행 특화 마케팅 활발",https://view.asiae.co.kr/article/2022040609052585849,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=277&aid=0005069650,세계 각국이 <b>코로나</b>19 팬데믹(세계적 대유행)에 따라 닫아 걸었던 해외관광객 입국을 하나 둘씩 풀기... 하지만 카드 해외 사용금액은 <b>코로나</b>19로 큰 타격을 입었다. 한국은행이 지난달 발표한 지난해 거주자의 카드... ,"Wed, 06 Apr 2022 11:15:00 +0900",2022-04-06 11:19:47
'서울형 어린이집' 2025년까지 800개소로 확대…공보육 강화,https://www.news1.kr/articles/?4639228,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0006012066,"김선순 서울시 여성가족정책실장은 &quot;저출생, <b>코로나</b>19 등 환경변화와 보육현장의 수요를 반영해 서울형어린이집의 지원은 확대하고 진입장벽은 완화할 계획&quot;이라며 &quot;국공립어린이집 확충과 함께 서울형 어린이집을... ","Wed, 06 Apr 2022 11:15:00 +0900",2022-04-06 11:19:47
'서울형어린이집' 확 늘어난다…2025년까지 800곳으로 확대,http://www.newsis.com/view/?id=NISX20220406_0001822545&cID=10201&pID=10200,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0011106387,김선순 서울시 여성가족정책실장은 &quot;저출생·<b>코로나</b>19 등 환경변화와 보육현장의 수요를 반영해 서울형어린이집의 지원은 확대하고 진입장벽은 완화할 것&quot;이라며 &quot;국공립어린이집 확충과 함께 서울형어린이집을 대폭... ,"Wed, 06 Apr 2022 11:15:00 +0900",2022-04-06 11:19:47
